1. affection,1. la ternura
2. annoyed,2. molesta
3. apron,3. el delantal
4. boo-boo,4. la nana
5. bottle,5. el frasco
6. boyfriend,6. el pololo
7. burning,7. picando
8. calves,8. las pantorrillas
9. carefully,9. detenidamente
10. commoner,10. el plebeyo
11. complexion,11. la tez
12. cops and robbers,12. el paco-ladrón
13. country estates,13. los fundos
14. disapproving,14. reporobatoria
15. do not enter,15. No se meta
16. except,16. salvo
17. exit,17. el mutis
18. face,18. el rostro
19. ﬁght,19. la riña
20. First Aid Station,20. la posta
21. foolishness,21. Tonterías
22. frames,22. los cuadros
23. gentleman,23. el caballero
24. He’s just like his father,24. Salió al padre
25. hideous,25. espantosa
26. kick,26. la patada
27. lack of enthusiasm,27. con displicencia
28. low class swine,28. rota cochina
29. man belonging to the poor class,29. el roto
30. mistress,30. la patrona
31. not even,31. ni siquiera
32. outﬁt,32. la tenida
33. perhaps,33. acaso
34. petrol,34. la bencina
35. pigsty,35. la pocilga
36. Prince Charmings,36. los príncipes azules
37. quarrelsome,37. peleador
38. rear end,38. el traste
39. reluctantly,39. con desgano
40. room,40. la pieza
41. sedative,41. el sedante
42. shore,42. la orilla
43. small land parcel,43. la cuadra
44. sunstroke,44. la insolación
45. tent/ canopy,45. la carpa
46. they have left (over),46. les sobra
47. this is the limit,47. esto es el colmo
48. to address as tú,48. tutear
49. to become rude,49. insolentarse
50. to begin,50. principiar
51. to burst out laughing,51. lanzar una carcajada
52. to dare to,52. atreverse a
53. to destroy,53. botar
54. to go forward,54. adelantarse
55. to head towards,55. dirigirse a
56. to kidnap,56. raptar
"57. to leaf through, to skim",57. hojear
58. to lend,58. prestar
59. to look down,59. bajar la vista
60. to make a mistake,60. equivocarse
61. to move away,61. retirarse
62. to prepare oneself,62. aprontarse
63. to pull off,63. tirar
64. to rent,64. arrendar
65. to ruin,65. deshacer
66. to sit up,66. incorporarse
67. to snifﬂe,67. sorberse los mocos
68. to spend the summer,68. veranear
69. to stay stretched out,69. permanecer tendida
70. to stop,70. detenerse
71. to struggle,71. forcejear
72. to take advantage of,72. aprovechar
73. to take off,73. sacarse
74. to think over,74. recapacitar
75. to unbutton,75. desabrocharse
76. to weave,76. tejer
77. underwear,77. los calzones
78. veins,78. las venas
79. well restrained/subdued,79. bien sujeta
80. worked up,80. acalorada
